AÑO;PERIODO;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DICTRITO;COD_CENTRO;NOMBRE DE CENTRO DE ATENCIÓN;N° DE CASOS - MUJERES;N° CASOS - VINCULO RELACIONAL - PAREJA;N° CASO - VINCULO RELACIONAL - EX PAREJA;N° CASOS - VINCULO RELACIONAL - FAMILIAR;N° CASOS - VINCULO RELACIONAL - CONOCIDO;N° CASOS  - VINCULO RELACIONAL - DESCONOCIDO;N° CASOS - VINCULO RELACIONAL - OTROS;N° CASOS DE TENTATIVA FEMINICIDIO - 0_5 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 6_11 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 12_17 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 18_29 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 30_59 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 60_MÁS - MUJERES
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;24;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;16;LORETO;;;  ;;2;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;2;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;18;MOQUEGUA;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;19;PASCO;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;20;PIURA;;;  ;;4;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;21;PUNO;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;22;SAN MARTÍN;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;23;TACNA;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;24;TUMBES;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;25;UCAYALI;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;01;AMAZONAS;;;  ;;2;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;02;ÁNCASH;;;  ;;8;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;03;APURÍMAC;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;04;AREQUIPA;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;05;AYACUCHO;;;  ;;5;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;06;CAJAMARCA;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;07;CALLAO;;;  ;;7;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;08;CUSCO;;;  ;;7;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;09;HUANCAVELICA;;;  ;;4;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;10;HUÁNUCO;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;11;ICA;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;12;JUNÍN;;;  ;;9;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;8;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;57;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;16;LORETO;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;18;MOQUEGUA;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;19;PASCO;;;  ;;8;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;20;PIURA;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;21;PUNO;;;  ;;5;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;22;SAN MARTÍN;;;  ;;5;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;23;TACNA;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;24;TUMBES;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;25;UCAYALI;;;  ;;2;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;01;AMAZONAS;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;02;ÁNCASH;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;03;APURÍMAC;;;  ;;3;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;04;AREQUIPA;;;  ;;20;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;05;AYACUCHO;;;  ;;5;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;06;CAJAMARCA;;;  ;;5;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;07;CALLAO;;;  ;;3;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;08;CUSCO;;;  ;;16;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;09;HUANCAVELICA;;;  ;;3;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;10;HUÁNUCO;;;  ;;5;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;11;ICA;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;12;JUNÍN;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;11;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;62;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;16;LORETO;;;  ;;7;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;18;MOQUEGUA;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;19;PASCO;;;  ;;4;;;;;;;;;;;;
